
AK-1>>>Nick Begich>>>R>>>125195>>>Mary Peltola>>>D>>>114918>>>71
NY-20>>>Paul Tonko>>>D>>>212654>>>Kevin Waltz>>>R>>>136999>>>93
NY-21>>>Elise Stefanik>>>R>>>209038>>>Paula Collins>>>D>>>126595>>>96
NY-22>>>John Mannion>>>D>>>183473>>>Brandon Williams>>>R>>>155496>>>92
NY-23>>>Nick Langworthy>>>R>>>240596>>>Thomas Carle>>>D>>>123811>>>92
NY-24>>>Claudia Tenney>>>R>>>230359>>>Dave Wagenhauser>>>D>>>119609>>>95
NY-25>>>Joseph Morelle>>>D>>>209722>>>Gregg Sadwick>>>R>>>137445>>>90
NY-26>>>Timothy Kennedy>>>D>>>201350>>>Anthony Marecki>>>R>>>108611>>>90
OH-1>>>Greg Landsman>>>D>>>208650>>>Orlando Sonza>>>R>>>174621>>>95
OH-2>>>David Taylor>>>R>>>263782>>>Samantha Meadows>>>D>>>95185>>>96
OH-3>>>Joyce Beatty>>>D>>>243991>>>Michael Young>>>R>>>97389>>>86
OH-4>>>Jim Jordan>>>R>>>268510>>>Tamie Wilson>>>D>>>123693>>>99
OH-5>>>Bob Latta>>>R>>>251828>>>Keith Mundy>>>D>>>120887>>>96
OH-6>>>Michael Rulli>>>R>>>242189>>>Michael Kripchak>>>D>>>120739>>>91
OH-7>>>Max Miller>>>R>>>200962>>>Matt Diemer>>>D>>>141741>>>94
OH-8>>>Warren Davidson>>>R>>>283611>>>Vanessa Enoch>>>D>>>163298>>>99
OH-9>>>Marcy Kaptur>>>D>>>176228>>>Derek Merrin>>>R>>>175035>>>94
OH-10>>>Mike Turner>>>R>>>209347>>>Amy Cox>>>D>>>141567>>>95
OH-11>>>Shontel Brown>>>D>>>229628>>>Alan Rapoport>>>R>>>57779>>>84
OH-12>>>Troy Balderson>>>R>>>255359>>>Jerrad Christian>>>D>>>119826>>>98
OH-13>>>Emilia Sykes>>>D>>>193575>>>Kevin Coughlin>>>R>>>185622>>>98
OH-14>>>David Joyce>>>R>>>239054>>>Brian Kenderes>>>D>>>137727>>>93
OH-15>>>Mike Carey>>>R>>>192477>>>Adam Miller>>>D>>>148045>>>99
OK-1>>>Kevin Hern>>>R>>>188832>>>Dennis Baker>>>D>>>107903>>>97
OK-2>>>Josh Brecheen>>>R>>>238105>>>Brandon Wade>>>D>>>68836>>>99
OK-3>>>Frank Lucas>>>R>>>0>>>undefined>>>undefined>>>undefined>>>0
OK-4>>>Tom Cole>>>R>>>201689>>>Mary Brannon>>>D>>>79086>>>96
OK-5>>>Stephanie Bice>>>R>>>207636>>>Madison Horn>>>D>>>134471>>>99
OR-1>>>Suzanne Bonamici>>>D>>>209911>>>Bob Todd>>>R>>>85634>>>77
OR-2>>>Cliff Bentz>>>R>>>218827>>>Dan Ruby>>>D>>>111303>>>90
OR-3>>>Maxine Dexter>>>D>>>219003>>>Joanna Harbour>>>R>>>80696>>>81
OR-4>>>Val Hoyle>>>D>>>187954>>>Monique DeSpain>>>R>>>160967>>>89
OR-5>>>Janelle Bynum>>>D>>>178054>>>Lori Chavez-DeRemer>>>R>>>167600>>>88
OR-6>>>Andrea Salinas>>>D>>>155288>>>Mike Erickson>>>R>>>136898>>>79
PA-1>>>Brian Fitzpatrick>>>R>>>258728>>>Ashley Ehasz>>>D>>>198744>>>98
PA-2>>>Brendan Boyle>>>D>>>191200>>>Aaron Bashir>>>R>>>76739>>>86
PA-3>>>Dwight Evans>>>D>>>334545>>>undefined>>>undefined>>>undefined>>>99
PA-4>>>Madeleine Dean>>>D>>>264143>>>David Winkler>>>R>>>184439>>>94
PA-5>>>Mary Gay Scanlon>>>D>>>262387>>>Alfeia Goodwin>>>R>>>140694>>>99
PA-6>>>Chrissy Houlahan>>>D>>>234263>>>Neil Young>>>R>>>182927>>>99
PA-7>>>Ryan Mackenzie>>>R>>>200933>>>Susan Wild>>>D>>>195961>>>99
PA-8>>>Rob Bresnahan>>>R>>>193407>>>Matt Cartwright>>>D>>>186294>>>99
PA-9>>>Dan Meuser>>>R>>>274317>>>Amanda Waldman>>>D>>>114091>>>99
PA-10>>>Scott Perry>>>R>>>203590>>>Janelle Stelson>>>D>>>197493>>>99
PA-11>>>Lloyd Smucker>>>R>>>251452>>>Jim Atkinson>>>D>>>147172>>>99
PA-12>>>Summer Lee>>>D>>>229480>>>James Hayes>>>R>>>179363>>>95
PA-13>>>John Joyce>>>R>>>300711>>>Beth Farnham>>>D>>>104270>>>99
PA-14>>>Guy Reschenthaler>>>R>>>266879>>>Chris Dziados>>>D>>>133629>>>97
PA-15>>>Glenn Thompson>>>R>>>279068>>>Zach Womer>>>D>>>110447>>>99
PA-16>>>Mike Kelly>>>R>>>253610>>>Preston Nouri>>>D>>>143372>>>98
PA-17>>>Chris Deluzio>>>D>>>239115>>>Rob Mercuri>>>R>>>206002>>>98
RI-1>>>Gabriel Amo>>>D>>>137429>>>Allen Waters>>>R>>>70320>>>90
RI-2>>>Seth Magaziner>>>D>>>151899>>>Steven Corvi>>>R>>>108883>>>95
SC-1>>>Nancy Mace>>>R>>>228228>>>Michael Moore>>>D>>>162393>>>99
SC-2>>>Joe Wilson>>>R>>>211305>>>David Robinson>>>D>>>142876>>>97
SC-3>>>Sheri Biggs>>>R>>>248451>>>Bryon Best>>>D>>>87735>>>99
SC-4>>>William Timmons>>>R>>>206973>>>Kathryn Harvey>>>D>>>129164>>>99
SC-5>>>Ralph Norman>>>R>>>228260>>>Evangeline Hundley>>>D>>>130592>>>98
SC-6>>>Jim Clyburn>>>D>>>182198>>>Duke Buckner>>>R>>>113549>>>91
SC-7>>>Russell Fry>>>R>>>240326>>>Mal Hyman>>>D>>>129522>>>99
SD-1>>>Dusty Johnson>>>R>>>303630>>>Sheryl Johnson>>>D>>>117818>>>99
TN-1>>>Diana Harshbarger>>>R>>>260317>>>Kevin  Jenkins>>>D>>>64682>>>99
TN-2>>>Tim Burchett>>>R>>>250002>>>Jane George>>>D>>>111094>>>99
TN-3>>>Chuck Fleischmann>>>R>>>236258>>>Jack Allen>>>D>>>102747>>>99
TN-4>>>Scott DesJarlais>>>R>>>218980>>>Victoria Broderick>>>D>>>83758>>>98
TN-5>>>Andy Ogles>>>R>>>204807>>>Maryam Abolfazli>>>D>>>142136>>>99
TN-6>>>John Rose>>>R>>>225457>>>Lore Bergman>>>D>>>106050>>>96
TN-7>>>Mark Green>>>R>>>191832>>>Megan Barry>>>D>>>122593>>>98
TN-8>>>David Kustoff>>>R>>>240309>>>Sarah Freeman>>>D>>>84993>>>94
TN-9>>>Steve Cohen>>>D>>>159434>>>Charlotte Bergmann>>>R>>>57378>>>78
TX-1>>>Nathaniel Moran>>>R>>>257792>>>undefined>>>undefined>>>undefined>>>82
TX-2>>>Dan Crenshaw>>>R>>>214150>>>Peter Filler>>>D>>>111694>>>94
TX-3>>>Keith Self>>>R>>>237030>>>Sandeep Srivastava>>>D>>>141906>>>97
TX-4>>>Pat Fallon>>>R>>>240996>>>Simon Cardell>>>D>>>110925>>>94
TX-5>>>Lance Gooden>>>R>>>191508>>>Ruth Torres>>>D>>>106959>>>94
TX-6>>>Jake Ellzey>>>R>>>192723>>>John Love>>>D>>>94629>>>94
TX-7>>>Lizzie Fletcher>>>D>>>148406>>>Caroline Kane>>>R>>>94206>>>82
TX-8>>>Morgan Luttrell>>>R>>>232986>>>Laura Jones>>>D>>>108301>>>99
TX-9>>>Al Green>>>D>>>182990>>>undefined>>>undefined>>>undefined>>>83
TX-10>>>Michael McCaul>>>R>>>220908>>>Theresa Boisseau>>>D>>>117937>>>96
TX-11>>>August Pfluger>>>R>>>223159>>>undefined>>>undefined>>>undefined>>>86
TX-12>>>Craig Goldman>>>R>>>215112>>>Trey Hunt>>>D>>>123666>>>97
TX-13>>>Ronny Jackson>>>R>>>241270>>>undefined>>>undefined>>>undefined>>>83
TX-14>>>Randy Weber>>>R>>>223997>>>Rhonda Hart>>>D>>>91152>>>94
TX-15>>>Monica De La Cruz>>>R>>>127644>>>Michelle Vallejo>>>D>>>95752>>>90
TX-16>>>Veronica Escobar>>>D>>>131144>>>Irene Armendariz Jackson>>>R>>>89146>>>85
TX-17>>>Pete Sessions>>>R>>>192876>>>Mark Lorenzen>>>D>>>97755>>>90
TX-18>>>Sylvester Turner>>>D>>>150774>>>Lana Centonze>>>R>>>66561>>>84
2024-HP-TX-18>>>Erica Lee Carter>>>D>>>115742>>>Maria Dunn>>>R>>>35726>>>64
TX-19>>>Jodey Arrington>>>R>>>214600>>>Nathan Lewis>>>I>>>27386>>>98
TX-20>>>Joaquin Castro>>>D>>>157211>>>undefined>>>undefined>>>undefined>>>62
TX-21>>>Chip Roy>>>R>>>263002>>>Kristin Hook>>>D>>>152900>>>95
TX-22>>>Troy Nehls>>>R>>>208810>>>Marquette Greene-Scott>>>D>>>126882>>>93
TX-23>>>Tony Gonzales>>>R>>>181401>>>Santos Limon>>>D>>>109483>>>93
TX-24>>>Beth Van Duyne>>>R>>>225733>>>Sam Eppler>>>D>>>147577>>>88
TX-25>>>Roger Williams>>>R>>>262514>>>undefined>>>undefined>>>undefined>>>91
TX-26>>>Brandon Gill>>>R>>>240101>>>Ernest Lineberger>>>D>>>137530>>>99
TX-27>>>Michael Cloud>>>R>>>183570>>>Tanya Lloyd>>>D>>>94217>>>90
TX-28>>>Henry Cuellar>>>D>>>125688>>>Jay Furman>>>R>>>113750>>>89
TX-29>>>Sylvia Garcia>>>D>>>98842>>>Alan Garza>>>R>>>52689>>>82
TX-30>>>Jasmine Crockett>>>D>>>195852>>>Jrmar Jefferson>>>L>>>34906>>>85
TX-31>>>John Carter>>>R>>>228520>>>Stuart Whitlow>>>D>>>125959>>>96
TX-32>>>Julie Johnson>>>D>>>138545>>>Darrell Day>>>R>>>85170>>>82
TX-33>>>Marc Veasey>>>D>>>113462>>>Patrick Gillespie>>>R>>>51607>>>83
TX-34>>>Vicente Gonzalez>>>D>>>102598>>>Mayra Flores>>>R>>>97465>>>90
TX-35>>>Greg Casar>>>D>>>169896>>>Steven Wright>>>R>>>82354>>>90
TX-36>>>Brian Babin>>>R>>>205539>>>Dayna Steele>>>D>>>90458>>>91
TX-37>>>Lloyd Doggett>>>D>>>252442>>>Jenny Garcia Sharon>>>R>>>80267>>>83
TX-38>>>Wesley Hunt>>>R>>>214076>>>Melissa McDonough>>>D>>>126408>>>89
UT-1>>>Blake Moore>>>R>>>212379>>>Bill Campbell>>>D>>>107149>>>86
UT-2>>>Celeste Maloy>>>R>>>186338>>>Nathaniel Woodward>>>D>>>111421>>>85
UT-3>>>Mike Kennedy>>>R>>>209086>>>Glenn Wright>>>D>>>108705>>>78
UT-4>>>Burgess Owens>>>R>>>203090>>>Katrina Fallick-Wang>>>D>>>99597>>>86
VA-1>>>Rob Wittman>>>R>>>265779>>>Leslie Mehta>>>D>>>204545>>>99
VA-2>>>Jen Kiggans>>>R>>>201209>>>Missy Cotter Smasal>>>D>>>184467>>>98
VA-3>>>Bobby Scott>>>D>>>211102>>>John Sitka>>>R>>>90751>>>89
VA-4>>>Jennifer McClellan>>>D>>>242855>>>Bill Moher>>>R>>>119112>>>91
VA-5>>>John McGuire>>>R>>>243618>>>Gloria Witt>>>D>>>178996>>>97
VA-6>>>Ben Cline>>>R>>>249982>>>Ken Mitchell>>>D>>>136115>>>99
VA-7>>>Eugene Vindman>>>D>>>197828>>>Derrick Anderson>>>R>>>188054>>>77
VA-8>>>Donald Beyer>>>D>>>266058>>>Jerry Torres>>>R>>>90990>>>92
VA-9>>>Morgan Griffith>>>R>>>284579>>>Karen Baker>>>D>>>105627>>>97
VA-10>>>Suhas Subramanyam>>>D>>>210727>>>Mike Clancy>>>R>>>191871>>>97
VA-11>>>Gerry Connolly>>>D>>>264469>>>Mike Van Meter>>>R>>>130695>>>93
VT-1>>>Becca Balint>>>D>>>218395>>>Mark Coester>>>R>>>104448>>>95
WA-1>>>Suzan DelBene>>>D>>>216081>>>Jeb Brewer>>>R>>>126567>>>87
WA-2>>>Rick Larsen>>>D>>>245902>>>Cody Hart>>>R>>>136434>>>87
WA-3>>>Marie Gluesenkamp Perez>>>D>>>205425>>>Joe Kent>>>R>>>189085>>>93
WA-4>>>Dan Newhouse>>>R>>>127559>>>Jerrod Sessler>>>R>>>115050>>>75
WA-5>>>Michael Baumgartner>>>R>>>208942>>>Carmela Conroy>>>D>>>138085>>>83
WA-6>>>Emily Randall>>>D>>>213995>>>Drew MacEwen>>>R>>>162740>>>84
WA-7>>>Pramila Jayapal>>>D>>>324181>>>Dan Alexander>>>R>>>60373>>>85
WA-8>>>Kim Schrier>>>D>>>213160>>>Carmen Goers>>>R>>>182407>>>91
WA-9>>>Adam Smith>>>D>>>169641>>>Melissa Chaudhry>>>D>>>80338>>>70
WA-10>>>Marilyn Strickland>>>D>>>189295>>>Don Hewett>>>R>>>133440>>>86
WI-1>>>Bryan Steil>>>R>>>212483>>>Peter Barca>>>D>>>172371>>>99
WI-2>>>Mark Pocan>>>D>>>320283>>>Erik Olsen>>>R>>>136349>>>99
WI-3>>>Derrick Van Orden>>>R>>>211709>>>Rebecca Cooke>>>D>>>200567>>>99
WI-4>>>Gwen Moore>>>D>>>249919>>>Tim Rogers>>>R>>>74920>>>98
WI-5>>>Scott Fitzgerald>>>R>>>300512>>>Ben Steinhoff>>>D>>>165638>>>99
WI-6>>>Glenn Grothman>>>R>>>242793>>>John Zarbano>>>D>>>148015>>>94
WI-7>>>Tom Tiffany>>>R>>>274153>>>Kyle Kilbourn>>>D>>>156719>>>99
WI-8>>>Tony Wied>>>R>>>241498>>>Kristin Lyerly>>>D>>>179554>>>99
2024-HP-WI-8>>>Tony Wied>>>R>>>241816>>>Kristin Lyerly>>>D>>>179558>>>99
WV-1>>>Carol Miller>>>R>>>227194>>>Chris Reed>>>D>>>89355>>>92
WV-2>>>Riley  Moore>>>R>>>263749>>>Steven Wendelin>>>D>>>107660>>>95
WY-1>>>Harriet Hageman>>>R>>>184626>>>Kyle Cameron>>>D>>>60763>>>95
